Solution: A= 9.193, B=-2.613, ,c1=0.06, c2=-0.36 ,Crash=36.92 days/2017-12-18 21:42:49, m=0.85  ,w=12.08. Cost=1.40510
Solution: A= 9.291, B=-2.718, ,c1=0.16, c2=-0.23 ,Crash=45.80 days/2018-01-01 18:52:09, m=0.90  ,w=12.94. Cost=1.97078
Solution: A= 9.251, B=-2.649, ,c1=0.09, c2=-0.35 ,Crash=42.05 days/2017-12-22 00:44:18, m=0.84  ,w=12.30. Cost=1.38934
Solution: A= 9.171, B=-2.619, ,c1=0.05, c2=-0.36 ,Crash=20.91 days/2017-12-10 21:27:15, m=0.82  ,w=11.38. Cost=1.53257
Solution: A= 9.220, B=-2.637, ,c1=0.09, c2=-0.34 ,Crash=39.15 days/2017-12-20 03:19:53, m=0.85  ,w=12.11. Cost=1.29741
Solution: A= 9.178, B=-2.610, ,c1=0.03, c2=-0.37 ,Crash=25.01 days/2017-12-12 23:57:56, m=0.83  ,w=11.62. Cost=1.47053
Solution: A= 9.240, B=-2.638, ,c1=0.10, c2=-0.34 ,Crash=46.42 days/2017-12-23 09:39:16, m=0.85  ,w=12.41. Cost=1.38287
Solution: A= 9.206, B=-2.635, ,c1=0.11, c2=-0.34 ,Crash=43.71 days/2017-12-20 16:37:33, m=0.86  ,w=12.09. Cost=1.30696
Solution: A= 9.233, B=-2.636, ,c1=0.09, c2=-0.35 ,Crash=45.76 days/2017-12-22 17:53:57, m=0.85  ,w=12.35. Cost=1.38573
Solution: A= 8.960, B=-2.502, ,c1=-0.08, c2=-0.40 ,Crash=9.51 days/2017-11-24 11:53:51, m=0.87  ,w=10.32. Cost=1.75646
Solution: A= 9.175, B=-2.615, ,c1=0.04, c2=-0.37 ,Crash=21.03 days/2017-12-11 00:19:57, m=0.82  ,w=11.41. Cost=1.46275
Solution: A= 9.131, B=-2.618, ,c1=0.08, c2=-0.34 ,Crash=33.48 days/2017-12-16 11:07:15, m=0.90  ,w=11.80. Cost=1.67145
Solution: A= 9.202, B=-2.635, ,c1=0.10, c2=-0.35 ,Crash=37.92 days/2017-12-18 21:39:59, m=0.85  ,w=11.97. Cost=1.32022
Solution: A= 9.152, B=-2.615, ,c1=0.07, c2=-0.36 ,Crash=23.24 days/2017-12-11 05:26:26, m=0.84  ,w=11.35. Cost=1.38653
Solution: A= 9.301, B=-2.658, ,c1=0.06, c2=-0.34 ,Crash=44.19 days/2017-12-24 04:16:11, m=0.81  ,w=12.59. Cost=1.24647
Solution: A= 8.906, B=-2.477, ,c1=-0.14, c2=-0.40 ,Crash=8.40 days/2017-11-16 09:15:19, m=0.86  ,w=9.86. Cost=1.72791
Solution: A= 9.145, B=-2.664, ,c1=0.07, c2=-0.32 ,Crash=17.86 days/2017-12-10 20:21:50, m=0.86  ,w=11.28. Cost=1.97642
Solution: A= 9.298, B=-2.716, ,c1=0.17, c2=-0.24 ,Crash=55.58 days/2018-01-02 13:39:52, m=0.90  ,w=13.00. Cost=1.84029
Solution: A= 9.181, B=-2.619, ,c1=0.04, c2=-0.37 ,Crash=19.88 days/2017-12-10 20:42:01, m=0.81  ,w=11.40. Cost=1.50254
Solution: A= 9.186, B=-2.632, ,c1=0.05, c2=-0.36 ,Crash=17.95 days/2017-12-10 22:29:01, m=0.81  ,w=11.36. Cost=1.56156
Solution: A= 9.165, B=-2.667, ,c1=0.07, c2=-0.32 ,Crash=16.22 days/2017-12-11 04:51:58, m=0.85  ,w=11.30. Cost=1.93422
Solution: A= 9.118, B=-2.670, ,c1=0.06, c2=-0.31 ,Crash=20.68 days/2017-12-11 15:57:19, m=0.90  ,w=11.41. Cost=2.04140
