Date;High;Low;Close;Average;Total;Turnover;Trades
1998-01-09;595,660;595,660;595,660;;;;0
1998-01-08;609,440;609,440;609,440;;;;0
1998-01-07;613,030;613,030;613,030;;;;0
1998-01-05;623,080;623,080;623,080;;;;0
1998-01-02;604,820;604,820;604,820;;;;0
1997-12-30;599,710;599,710;599,710;;;;0
1997-12-29;592,990;592,990;592,990;;;;0
1997-12-23;567,250;567,250;567,250;;;;0
1997-12-22;575,340;575,340;575,340;;;;0
1997-12-19;573,610;573,610;573,610;;;;0
1997-12-18;597,880;597,880;597,880;;;;0
1997-12-17;602,610;602,610;602,610;;;;0
1997-12-16;599,520;599,520;599,520;;;;0
1997-12-15;583,580;583,580;583,580;;;;0
1997-12-12;583,580;583,580;583,580;;;;0
1997-12-11;588,270;588,270;588,270;;;;0
1997-12-10;607,510;607,510;607,510;;;;0
1997-12-09;619,210;619,210;619,210;;;;0
1997-12-08;625,090;625,090;625,090;;;;0
1997-12-05;619,550;619,550;619,550;;;;0
1997-12-04;624,220;624,220;624,220;;;;0
1997-12-03;610,570;610,570;610,570;;;;0
1997-12-02;620,430;620,430;620,430;;;;0
1997-12-01;624,430;624,430;624,430;;;;0
1997-11-28;609,100;609,100;609,100;;;;0
1997-11-27;603,200;603,200;603,200;;;;0
1997-11-26;601,540;601,540;601,540;;;;0
1997-11-25;595,960;595,960;595,960;;;;0
1997-11-24;601,640;601,640;601,640;;;;0
1997-11-21;614,340;614,340;614,340;;;;0
1997-11-20;601,390;601,390;601,390;;;;0
1997-11-19;585,830;585,830;585,830;;;;0
1997-11-18;583,510;583,510;583,510;;;;0
1997-11-17;576,130;576,130;576,130;;;;0
1997-11-14;560,030;560,030;560,030;;;;0
1997-11-13;568,050;568,050;568,050;;;;0
1997-11-12;577,140;577,140;577,140;;;;0
1997-11-11;574,900;574,900;574,900;;;;0
1997-11-10;580,040;580,040;580,040;;;;0
1997-11-07;575,960;575,960;575,960;;;;0
1997-11-06;590,490;590,490;590,490;;;;0
1997-11-05;596,190;596,190;596,190;;;;0
1997-11-04;588,710;588,710;588,710;;;;0
1997-11-03;592,820;592,820;592,820;;;;0
1997-10-31;575,490;575,490;575,490;;;;0
1997-10-30;574,260;574,260;574,260;;;;0
1997-10-29;592,070;592,070;592,070;;;;0
1997-10-28;554,400;554,400;554,400;;;;0
1997-10-27;576,970;576,970;576,970;;;;0
1997-10-24;605,440;605,440;605,440;;;;0
1997-10-23;611,170;611,170;611,170;;;;0
1997-10-22;629,000;629,000;629,000;;;;0
1997-10-21;633,430;633,430;633,430;;;;0
1997-10-20;623,550;623,550;623,550;;;;0
1997-10-17;627,970;627,970;627,970;;;;0
1997-10-16;641,330;641,330;641,330;;;;0
1997-10-15;643,690;643,690;643,690;;;;0
1997-10-14;647,600;647,600;647,600;;;;0
1997-10-13;645,570;645,570;645,570;;;;0
1997-10-10;642,910;642,910;642,910;;;;0
1997-10-09;649,770;649,770;649,770;;;;0
1997-10-08;656,570;656,570;656,570;;;;0
1997-10-07;659,500;659,500;659,500;;;;0
1997-10-06;653,820;653,820;653,820;;;;0
1997-10-03;657,750;657,750;657,750;;;;0
1997-10-02;655,310;655,310;655,310;;;;0
1997-10-01;659,060;659,060;659,060;;;;0
1997-09-30;652,850;652,850;652,850;;;;0
1997-09-29;650,110;650,110;650,110;;;;0
1997-09-26;652,450;652,450;652,450;;;;0
1997-09-25;642,020;642,020;642,020;;;;0
1997-09-24;649,770;649,770;649,770;;;;0
1997-09-23;644,350;644,350;644,350;;;;0
1997-09-22;644,100;644,100;644,100;;;;0
1997-09-19;628,530;628,530;628,530;;;;0
1997-09-18;635,980;635,980;635,980;;;;0
1997-09-17;628,990;628,990;628,990;;;;0
1997-09-16;625,890;625,890;625,890;;;;0
