Date,Fit1,Fit2,Fit3,Index
171.0,2365.8165686343327,2426.0458901824522,2426.311285298198,2689.099999999999
172.0,2364.0273637329046,2423.3484205836135,2423.158759305361,2705.4099999999994
173.0,2361.498582916247,2419.8601806232477,2419.2207878932177,2744.9100000000003
174.0,2358.312647002981,2415.6756422536614,2414.595468360591,2608.7199999999993
175.0,2354.556938354139,2410.8944237206106,2409.385963150768,2589.4099999999994
176.0,2350.3232850924765,2405.620665561675,2403.6998459658153,2478.4499999999994
177.0,2345.70743199294,2399.962398487335,2397.6484430038035,2552.45
178.0,2340.8085057259336,2394.0309123607094,2391.3461788753207,2574.7900000000004
179.0,2335.728481827507,2387.940134943149,2384.909936102541,2539.3199999999997
180.0,2330.5716602985603,2381.80602833335,2378.4584362583537,2480.8400000000006
181.0,2325.444156113039,2375.746010121706,2372.1116497907897,2434.55
182.0,2320.4534101602712,2369.8784052339734,2365.9902404281374,2506.469999999999
183.0,2315.7077252789813,2364.321933277875,2360.215048803248,2564.0600000000004
184.0,2311.3158310811114,2359.1952349610565,2354.906618602365,2601.639999999999
185.0,2307.38648023408,2354.6164398472692,2350.184767164328,2601.9900000000007
186.0,2304.0280777926146,2350.7027763874976,2346.168201059078,2608.5599999999995
187.0,2301.348344065805,2347.570223828383,2342.9741757853603,2518.659999999999
188.0,2299.4540103924583,2345.3332042854654,2340.7181973698434,2571.3399999999997
189.0,2298.4505460944047,2344.104311992535,2339.513762343422,2518.44
190.0,2298.441913800448,2343.994075518391,2339.472131331043,2372.5600000000004
191.0,2299.5303492962394,2345.1107475919343,2340.702130333091,2337.7899999999995
192.0,2301.8161610694306,2347.5601161078193,2343.3099727092813,2398.840000000001
193.0,2305.397543796006,2351.445328906949,2347.3990939086725,2357.900000000001
194.0,2310.370399160943,2356.8667240471414,2353.0699901295666,2233.3399999999992
195.0,2316.828156633794,2363.9216565069014,2360.4200513467217,1998.8599999999994
196.0,2324.861586135152,2372.704311607629,2369.5433785193754,1929.8199999999995
197.0,2334.5585939439447,2383.305494906474,2380.530574300374,2228.4099999999994
198.0,2346.0039927181924,2395.8123879158115,2393.468496217879,2318.880000000001
199.0,2359.27923614861,2410.308258762048,2408.4399611130307,2273.4300000000003
200.0,2374.4621085521044,2426.8721168274815,2425.5233896114573,2817.5999999999995
201.0,2391.6263596630765,2445.578300550203,2444.792379612059,2667.7600000000007
202.0,2410.8412750219372,2466.495987922134,2466.315198227544,2810.120000000001
203.0,2432.1711727245593,2489.688619863151,2490.15418234902,2730.4000000000005
204.0,2455.6748179225433,2515.213227606167,2516.3650390801604,2754.860000000001
205.0,2481.4047473956794,2543.11965655579,2544.9960387485844,2576.479999999999
206.0,2509.4064978037463,2573.449680838152,2576.087095111393,2529.449999999999
207.0,2539.7177329173915,2606.2360050006073,2609.668729788483,2671.78
208.0,2572.367267280365,2641.5011521054435,2645.7609209391894,2809.0100000000007
209.0,2607.3739864206873,2679.256240844992,2684.3718397982498,2726.449999999999
210.0,2644.745666952864,2719.4996583302473,2725.496482945474,2757.179999999999
211.0,2684.477703733903,2762.2156398984293,2769.1152131231065,2875.3399999999992
212.0,2726.551755672903,2807.3727726499656,2815.1922270307186,2718.2600000000007
213.0,2770.9343268452203,2854.922445433773,2863.6739747798883,2710.6700000000005
214.0,2817.5753051940455,2904.7972745807465,2914.487562496489,2804.73
215.0,2866.406487243249,2956.9095417188737,2967.53917677965,2895.889999999999
216.0,2917.3401237763055,3011.1496873099286,3022.7125771632855,3252.909999999997
217.0,2970.26752818411,3067.3849108823183,3079.8677101122857,3213.940000000003
218.0,3025.0577959158168,3125.457935981757,3138.8395050809636,3378.9399999999982
219.0,3081.5566898843404,3185.1860042356943,3199.436919356519,3419.9399999999973
220.0,3139.5857524202825,3246.3601681762266,3261.442303331452,3342.469999999997
221.0,3198.941709015266,3308.744956084293,3324.6111609705963,3381.280000000001
222.0,3259.3962321800227,3372.0784835621203,3388.672381008125,3650.6200000000013
223.0,3320.696134765643,3436.073085261318,3453.3290122733497,3884.71
224.0,3382.564060556979,3500.4165356673025,3518.2596509895043,4073.259999999997
225.0,3444.6997353699417,3564.773919614232,3583.1204984875726,4325.13
226.0,3506.7818338641496,3628.790200945384,3647.54813423738,4181.9299999999985
227.0,3568.4705055273657,3692.09352128346,3711.1630313173023,4376.630000000002
228.0,3629.4105876664025,3754.299240294978,3773.573819560518,4331.690000000001
