"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 04, 2007","3,816.16","3,906.01","3,916.47","3,800.28","5.65B","-2.14%"
"Jul 05, 2007","3,615.87","3,769.64","3,778.40","3,614.53","6.34B","-5.25%"
"Jul 06, 2007","3,781.35","3,599.82","3,785.35","3,563.54","8.07B","4.58%"
"Jul 09, 2007","3,883.22","3,809.67","3,900.90","3,782.73","8.35B","2.69%"
"Jul 10, 2007","3,853.02","3,895.91","3,929.42","3,841.80","7.66B","-0.78%"
"Jul 11, 2007","3,865.72","3,837.80","3,879.29","3,812.14","5.14B","0.33%"
"Jul 12, 2007","3,915.99","3,874.04","3,925.60","3,861.04","5.52B","1.30%"
"Jul 13, 2007","3,914.39","3,920.83","3,935.51","3,878.18","4.60B","-0.04%"
"Jul 16, 2007","3,821.92","3,920.65","3,931.87","3,820.57","4.76B","-2.36%"
"Jul 17, 2007","3,896.19","3,809.56","3,919.78","3,767.22","4.87B","1.94%"
"Jul 18, 2007","3,930.06","3,880.85","3,971.61","3,861.91","6.29B","0.87%"
"Jul 19, 2007","3,912.94","3,918.54","3,947.33","3,887.59","4.87B","-0.44%"
"Jul 20, 2007","4,058.85","3,918.41","4,062.12","3,918.41","8.31B","3.73%"
"Jul 23, 2007","4,213.36","4,091.24","4,220.32","4,091.24","12.17B","3.81%"
"Jul 24, 2007","4,210.33","4,238.32","4,284.83","4,192.72","11.10B","-0.07%"
"Jul 25, 2007","4,323.97","4,212.95","4,325.38","4,212.23","9.40B","2.70%"
"Jul 26, 2007","4,346.46","4,347.78","4,371.51","4,304.19","9.92B","0.52%"
"Jul 27, 2007","4,345.36","4,315.37","4,357.34","4,268.79","10.02B","-0.03%"
"Jul 30, 2007","4,440.77","4,348.61","4,450.19","4,345.79","11.26B","2.20%"
"Jul 31, 2007","4,471.03","4,432.27","4,476.63","4,379.20","10.86B","0.68%"
"Aug 01, 2007","4,300.56","4,488.77","4,502.30","4,284.87","12.63B","-3.81%"
"Aug 02, 2007","4,407.73","4,316.57","4,431.85","4,290.81","9.83B","2.49%"
"Aug 03, 2007","4,560.77","4,440.98","4,562.69","4,438.96","11.51B","3.47%"
"Aug 06, 2007","4,628.11","4,600.12","4,629.97","4,564.31","11.17B","1.48%"
"Aug 07, 2007","4,651.23","4,642.01","4,687.44","4,581.29","11.62B","0.50%"
"Aug 08, 2007","4,663.16","4,614.59","4,711.32","4,568.69","11.89B","0.26%"
"Aug 09, 2007","4,754.10","4,658.59","4,768.89","4,658.59","9.77B","1.95%"
"Aug 10, 2007","4,749.37","4,745.18","4,769.62","4,640.77","10.19B","-0.10%"
"Aug 13, 2007","4,820.06","4,768.62","4,872.55","4,728.89","11.42B","1.49%"
"Aug 14, 2007","4,872.78","4,820.15","4,876.85","4,789.90","8.86B","1.09%"
"Aug 15, 2007","4,869.88","4,875.51","4,916.31","4,762.72","9.05B","-0.06%"
"Aug 16, 2007","4,765.45","4,845.02","4,845.02","4,710.31","9.05B","-2.14%"
"Aug 17, 2007","4,656.57","4,733.14","4,814.37","4,646.43","9.12B","-2.28%"
"Aug 20, 2007","4,904.85","4,773.83","4,906.00","4,758.40","9.92B","5.33%"
"Aug 21, 2007","4,955.21","4,944.21","4,982.98","4,917.82","10.42B","1.03%"
"Aug 22, 2007","4,980.07","4,876.35","4,999.19","4,861.27","10.81B","0.50%"
"Aug 23, 2007","5,032.49","5,002.84","5,050.38","4,968.33","9.93B","1.05%"
"Aug 24, 2007","5,107.67","5,070.65","5,125.36","5,052.24","10.90B","1.49%"
"Aug 27, 2007","5,150.12","5,144.82","5,192.06","5,092.08","11.62B","0.83%"
"Aug 28, 2007","5,194.69","5,134.14","5,209.51","5,058.45","10.54B","0.87%"
"Aug 29, 2007","5,109.43","5,147.71","5,204.53","5,063.41","10.08B","-1.64%"
"Aug 30, 2007","5,167.88","5,144.11","5,186.53","5,109.66","10.12B","1.14%"
"Aug 31, 2007","5,218.82","5,184.09","5,235.16","5,158.37","10.36B","0.99%"
"Sep 03, 2007","5,321.06","5,257.78","5,327.54","5,257.78","12.58B","1.96%"
"Sep 04, 2007","5,294.05","5,333.40","5,357.93","5,265.00","12.04B","-0.51%"
"Sep 05, 2007","5,310.72","5,296.07","5,337.93","5,223.67","9.62B","0.31%"
"Sep 06, 2007","5,393.66","5,336.67","5,412.32","5,314.34","10.70B","1.56%"
"Sep 07, 2007","5,277.18","5,381.19","5,405.36","5,269.25","11.98B","-2.16%"
"Sep 10, 2007","5,355.29","5,208.32","5,356.86","5,169.90","10.24B","1.48%"
"Sep 11, 2007","5,113.97","5,362.94","5,395.04","5,093.92","11.01B","-4.51%"
"Sep 12, 2007","5,172.63","5,092.58","5,192.30","5,025.34","9.71B","1.15%"
"Sep 13, 2007","5,273.59","5,193.41","5,276.77","5,178.87","8.65B","1.95%"
"Sep 14, 2007","5,312.18","5,290.26","5,324.44","5,201.85","9.47B","0.73%"
"Sep 17, 2007","5,421.39","5,309.06","5,427.17","5,307.77","10.56B","2.06%"
"Sep 18, 2007","5,425.21","5,446.73","5,458.58","5,339.92","10.27B","0.07%"
"Sep 19, 2007","5,395.27","5,439.02","5,447.36","5,336.07","8.97B","-0.55%"
"Sep 20, 2007","5,470.06","5,408.48","5,482.43","5,396.11","8.65B","1.39%"
"Sep 21, 2007","5,454.67","5,482.51","5,489.07","5,363.35","9.28B","-0.28%"
"Sep 24, 2007","5,485.01","5,469.84","5,506.06","5,404.42","8.18B","0.56%"
"Sep 25, 2007","5,425.88","5,500.27","5,509.23","5,396.48","9.65B","-1.08%"
"Sep 26, 2007","5,338.52","5,407.83","5,463.90","5,320.02","6.36B","-1.61%"
