basinhopping  Minimizing...
New minima 0.09332838 accepted. Solution: A= 17.564, B=-10.677, Crash=30.00 days from 2017-12-02 23:39:07, m=0.11 ,c1=0.02 ,w=23.85 ,c2=-0.35.
x0: [ 1.602, -1.495, 14.351, 0.404, 0.611, 21.590, -0.868, 2017.921 ]
Solution: A= 17.662, B=-10.775, Crash=30.00 days/2018-01-01 23:39:07, m=0.11 ,c1=0.02 ,w=23.85 ,c2=-0.35. Cost=0.09321
basinhopping  Minimizing...
New minima 0.00818758 accepted. Solution: A= 9.280, B=-2.808, Crash=22.01 days from 2017-12-02 23:39:07, m=0.89 ,c1=0.07 ,w=12.42 ,c2=-0.25.
New minima 0.00805730 accepted. Solution: A= 9.289, B=-2.823, Crash=23.48 days from 2017-12-02 23:39:07, m=0.90 ,c1=0.01 ,w=12.95 ,c2=-0.26.
New minima 0.00812054 accepted. Solution: A= 9.280, B=-2.809, Crash=23.08 days from 2017-12-02 23:39:07, m=0.90 ,c1=0.03 ,w=12.77 ,c2=-0.24.
New minima 0.00819479 accepted. Solution: A= 9.305, B=-2.837, Crash=24.91 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.04 ,w=13.45 ,c2=-0.25.
New minima 0.00806897 accepted. Solution: A= 9.289, B=-2.821, Crash=23.07 days from 2017-12-02 23:39:07, m=0.90 ,c1=0.02 ,w=12.80 ,c2=-0.26.
New minima 0.00810752 accepted. Solution: A= 9.295, B=-2.821, Crash=22.62 days from 2017-12-02 23:39:07, m=0.89 ,c1=0.04 ,w=12.64 ,c2=-0.26.
New minima 0.00838352 accepted. Solution: A= 9.418, B=-2.905, Crash=24.14 days from 2017-12-02 23:39:07, m=0.81 ,c1=-0.01 ,w=13.16 ,c2=-0.24.
New minima 0.00824617 accepted. Solution: A= 9.283, B=-2.806, Crash=21.70 days from 2017-12-02 23:39:07, m=0.89 ,c1=0.08 ,w=12.31 ,c2=-0.25.
New minima 0.00911634 accepted. Solution: A= 9.303, B=-2.785, Crash=19.39 days from 2017-12-02 23:39:07, m=0.84 ,c1=0.17 ,w=11.38 ,c2=-0.19.
New minima 0.00842622 accepted. Solution: A= 9.308, B=-2.811, Crash=21.01 days from 2017-12-02 23:39:07, m=0.86 ,c1=0.11 ,w=12.04 ,c2=-0.23.
New minima 0.00942808 accepted. Solution: A= 9.301, B=-2.776, Crash=18.91 days from 2017-12-02 23:39:07, m=0.84 ,c1=0.19 ,w=11.17 ,c2=-0.18.
New minima 0.01126189 accepted. Solution: A= 9.318, B=-2.752, Crash=16.70 days from 2017-12-02 23:39:07, m=0.80 ,c1=0.22 ,w=10.23 ,c2=-0.08.
New minima 0.01340668 accepted. Solution: A= 9.396, B=-2.779, Crash=14.16 days from 2017-12-02 23:39:07, m=0.72 ,c1=0.20 ,w=9.35 ,c2=0.01.
New minima 0.01344508 accepted. Solution: A= 9.392, B=-2.776, Crash=14.09 days from 2017-12-02 23:39:07, m=0.72 ,c1=0.20 ,w=9.33 ,c2=0.01.
New minima 0.01198975 accepted. Solution: A= 9.287, B=-2.727, Crash=15.83 days from 2017-12-02 23:39:07, m=0.81 ,c1=0.22 ,w=9.96 ,c2=-0.06.
New minima 0.01234353 accepted. Solution: A= 9.465, B=-2.831, Crash=15.78 days from 2017-12-02 23:39:07, m=0.69 ,c1=0.21 ,w=9.78 ,c2=-0.01.
